评论内容,故障模式句子
机身材料动力电池放电倍率都有缩水导致动力不足炸机容易损坏,True
但是发到500米远左右后信号失联,True
不知道为何第一次飞信号这么弱,True
拆箱后第二天看到备用桨叶有一片是断的,True
新买的机器连不上穿越摇杆,True
很快芯片发热太明显,True
系统提示芯片过热,True
这代桨叶支架包括机身都很脆弱,True
GPS和主板摔坏,True
大疆坚称没有出现信号丢失问题,True
否则容易遥控器信号丢失,True
还好只是撞坏了电池的橡胶底座,True
电池一会就没电,True
好在信号中断的自动返航还不错,True
距离两公里多就提示遥控信号丢失,True
一块飞机电池很快就没电了,True
还好就是一片桨叶变形了,True
电池掉电太快后续购买了备用电池,True
有一个小小的瑕疵就是云台保护罩并不是很方便拆,True
镜头外侧还有划痕,True
丢失信号会自动返航,True
有时候会丢失信号,True
今天突然就动力系统异常（,True
我打开穿越摇杆时盒子都裂开了,True
无人机套装打开后里面一个螺旋桨的泡棉是掉下来的,True
眼镜电源就不好使了,True
遥控器就失联自动返航,True
800m容易丢失图传信号,True
这个信号太差了吧,True
电池充不进电就算了,True
拆箱遥控器里面就有东西断了一摇就响,True
17号左摇杆上推卡住伴有异响弹簧被东西卡住了,True
电池无效,True
说信号丢失,True
到手主机上的6S电池充不进电,True
突然电机异响,True
电池和线的接口只要轻微晃动就断电；,True
机身还有点小瑕疵,True
买回来飞了不到十次遥控器急停键突然失灵,True
电池一拔里面都灰都划痕 ,True
感觉不买多两个电池基本不好外带,True
云台罩撞坏了,True
充电异常,True
昨天用遥控器不知什么情况就坠机了,True
遥控信号丢失保护等,True
镜头无明显晃动,True
夜景稍微后期降下噪就很好了适合拥有后期能力的买家购买小白也适合全向避障让你飞的安心降低炸机概率,True
云台左右贴膜揭开后有刮画现象,True
发现相机故障,True
配合4G模块环境干扰复杂丢遥控信号也不怕4G满满的,True
360度避障失效,True
避障失效（,True
再也不用担心信号不好或者掉线啦~,True
就是遥控器偶尔断联,True
未起飞时云台有明显滋滋异响,True
切换镜头有严重卡顿,True
少了原来天线的易损坏件,True
比如切换镜头卡顿问题,True
还有rc小白控是有点卡,True
桨叶上有划痕 ,True
rc屏控略卡,True
ac遥控器有点卡,True
飞机很好就遥控器的信号不好老被干扰都让人无语买什么遥控也不要小白控还卡图专,True
先是云台怪叫异响,True
结果第二台开箱云台还是有滋滋电流声,True
光学镜头切换卡顿,True
信号这么弱,True
还有听说A3模块发热的问题,True
电源管家寄来就有破损,True
同时全网搜索范围内只有大疆的无人机才有图传超出延迟的功能,True
公里信号就会快速衰减稳定性,True
电池就会没电了,True
还有桨叶很脆弱,True
只是摔坏了桨叶,True
收到货后发现机臂有蹭漆,True
就是飞不远了信号经常有干扰,True
这时图传信号很稳定没有丢失,True
一般在1.2公里后就会出现信号衰减,True
机身位置会小范围偏移做工质量,True
传输时间过长容易出现机体过热警报,True
万一第三方电池空中断电,True
信号也不好,True
空旷地飞了两公里左右信号开始衰减剩两格,True
信号弱的情况下悬停有点飘,True
自己置换了rc遥控器再也不用卡手机了,True
机翼有一点小瑕疵客服立马给补发了一对备用机翼,True
但是在树多的地方容易丢失信号,True
新疆当地的风力机身也几乎不晃动,True
信号也不会丢失,True
机身和电机发热严重,True
云台不抖动,True
这样掉落时可以尽量避免折断机臂就很好了,True
系统提醒立刻降低高度,True
后来看到pro镜头容易起雾,True
相机2倍拍照就很模糊,True
遥控器都搞没电了,True
没有4g模块真的无人机体验下降一半多,True
丢失信号会自动返航很赞,True
外观机身外观都没有弄坏,True
智能电池放置不用时会自动消耗降低电量以保护,True
好几个桨叶都有些破损啦,True
图传就卡,True
电池玩二十多分钟就没电了,True
一块电池还没玩过瘾就没电了,True
飞机飞了十分钟机身发热,True
跟桨叶之间没有卡顿感,True
机身发烫,True
遥控器灵活方便延时极低稳定性,True
新机到手电池舱盖撕开标签下面就有一道划痕,True
室内就要用新手保护罩不然会漂,True
就算运动中或者有风导致机身晃动,True
现在有了避障之后也是操作难度下降了很多,True
充电更新固件下载地图买sd卡,True
快速前飞时云台会被顶歪的问题,True
螺旋桨变形了,True
避障不好,True
电池还可以外放电给手机充电,True
只是需要注意充电器的输出电压和电流,True
唯一不好的就是电池太拉垮了,True
用不了多少时间电池就没电,True
第一次试飞的时候就被吹走了保护罩磕了几下😢,True
还是去除了桨叶噪音的声音,True
小螺旋桨叶子摔坏了,True
就是炸机摄像头歪了,True
飞机搭在电池充很容易发烫,True
检查发现叶片破损,True
丢失原因遥控莫名断开连接（,True
16号下午飞着提示天线弱信号差 ,True
四百米不到的距离信号都不好 ,True
玩过2S就知道拍一段延时基本就要换电池了 ,True
航拍时间也就26分钟左右带屏遥控也是比较卡,True
机身和屏控的TF卡也提前买好,True
两个桨叶都裂开了 ,True
信号稍微不好就自动导航,True
画面丢失等问题在于客服联系说我这城市里信号不好正常,True
飞出去2km左右就信号丢失,True
断了2个叶片,True
后面我在提供信号连不上图片给大家看,True
信号不稳漂移,True
长续航电池飞一会儿就没电了,True
遥控器充电都充不进,True
图传不清楚卡顿现象,True
就老是提示信号丢失了,True
产品本身内部短路,True
图传信号不好,True
摇杆有事会失灵 ,True
结果下视传感器异常,True
但是飞到一百米高云台没有出现晃动,True
我是飞了几次老提示云台电机过载,True
总是显示云台异常,True
遥控器就还得配个卡,True
而且是飞机避障功能失效,True
就是电池续航弱了点,True
等下一代降低噪音以及全向避障,True
下一步就是控制桨叶噪音,True
他们说这是因为桥底有信号干扰,True
也不可能信号弱,True
信号不好应该几十秒后自动爬升高度返航而不可能是侧飞,True
大疆一口咬定是GPS信号弱的问题,True
GPS信号弱这是人为的,True
您可检查一下飞行器是否存在受损情况或者APP有无报错提醒,True
遥控器充不进电,True
摄像头的线都断了,True
御2带屏遥控器长期不用充不进电能维修吗,True
不充电发货就不会发生自燃问题了,True
经过几次力争才认可是大疆飞机的定位系统发生错误给换了新机,True
再用软件直接把螺旋桨噪音处理掉,True
近拍光线黑一点就失灵因为镜头感光太差,True
电池很不撑用且发热大；,True
镂空的二环都能遮挡信号,True
想问下信号丢失自动返航后,True
我也遇到过丢信号卡图传连不上遥控器,True
穿到楼后面被完全遮挡能不断信号吗,True
6.GPS信号弱,True
还连不上手机遥控器,True
最大的bug就是拿多轴在商场这类人群密集场所飞的人,True
没有gps光线不好就是姿态模式,True
再加上室内gps定位干扰严重,True
嫌遥控兼容性不好、,True
降落到一半开始侧飞撞到栏杆导致桨叶裂了一点,True
se2丢失信号炸机,True
我也刚刚碰到电线坠机,True
我上次信号中断把我的魂给吓没了 ,True
请问你说信号失联情况具体地址在哪,True
Pro嫌弃信号不好那就算4g模块啊,True
大疆mini3por镜头内部起雾,True
信号中断很正常,True
信号有一点衰减迹象应该有意识,True
突然中断信号这事确实我也遇到了 ,True
造成信号干扰,True
我只是后避障失效,True
比如没飞多远就信号丢失,True
断信号周围环境如何?,True
然后遥控器没电了,True
但是从你描述的信号失联和返航炸鸡的情况,True
环境复杂容易断信号,True
比如有信号干扰,True
物体遮挡都会造成信号失联,True
遥控器与飞机也不能有物体遮挡,True
结果发现电池充不进电（,True
后又发现电池拆下来后的电池仓既然有长期磨损的痕迹发现是一款二手机翻新,True
建议你不要飞去信号干扰强的城市环境,True
3个月以后云台彻底失控,True
修不好的云台它拿去干嘛呐,True
在门店问销售如果信号中断导致机器损坏怎么办,True
你不设置当然有撞树枝的可能啦而且信号断之前就是没有预警的啊这个可能就是你操作不当,True
避开有无线电干扰的地方,True
这个型号镜头起雾的总题一直没解决,True
电池烫到手摸起泡,True
首先丢失信号在飞无人机的时候太正常了,True
外电话铃响就断信号断显示（,True
很容易断信号,True
图传失联是非常正常的现象,True
从如影稳定器开始就有设计缺陷 ,True
emmmm你飞了多远显示信号中断的呢,True
如果设置了丢失信号回自动升到那个高度再返航的,True
我是信号终端撞到物体坠落,True
信号他本来就是突然间中断的,True
开阔的地方你要看在哪有些地方会有干扰但是基本看好遥控器上信号或者图传程度一般都可以控制,True
信号丢失自己没原因吗我就想知道自己先飞到丢失信号导致炸鸡,True
晚上和无信号就是乱飞 ,True
丢信号就会掉下来,True
飞行器机身15号的数据未见下降碰撞现象,True
但是如果内部没啥损伤应该几百块就能维修了,True
摄像头装回去还有点歪,True
外加云台抖动,True
因为上次电池晒鼓包弹出来了,True
幸好针脚长还没断电,True
发现摄像头支架断了热气流下无人机就像个杀手,True
被遮挡断信号返航炸机,True
云台有电流滋滋声,True
避障失效和抖动我也出现过,True
镜头切换的卡顿问题,True
延时镜头抖动,True
3.电机一定会烫,True
遥控器卡顿,True
多次举报也不正面回复避障失效,True
侧飞没有避障,True
事实明明是遥控器与手机断连导致信号中断坠机丢失,True
一样也是飞着飞着突然信号断了,True
还有侧飞跟拍没避障还非要这么搞,True
好在每次丢失信号都能自动回来重新链接,True
有信号的情况下飞偏撞机,True
一会说gps不准,True
我前天还是带平遥控刚飞上去就失控了 ,True
不存在切APP就断联,True
第一次在智利飞丢避障功能失效,True
RC信号有遮挡会变差,True
遮挡丢信号不是正常的吗,True
都有信号干扰,True
信号尽量别有遮挡就好了,True
有遮挡时信号指示刚变红时还好用,True
电池鼓包都是通病,True
一般不存在信号丢失的啊,True
信号塔突发故障或者其他信号发射器突发干扰,True
大雾天飞高了信号中断,True
在无风满信号并且空旷的地方自由落体坠海 ,True
确实有时候会无征兆信号干扰,True
图传这个大概率就是周围遮挡物太多我之前在山里植被太繁茂,True
被提示rc信号不好,True
请问避障失效,True
飞到楼后面丢失了图传,True
等飞的时候发现信号总是中断,True
寄过去也说主板损坏,True
就是核心损坏,True
刚修了air2就是遥控器C口和手机连接异常了..16块钱部件..给搞了个220的维修板更换,True
才飞了不到20次就说我核心组件坏掉,True
上次我直接把云台撞歪了,True
突然失联也没自动导航,True
我今天刚飞丢高空就丢失信号就无了如果客服答复不满意我也发小红薯,True
我的自己信号丢失也没有返航,True
丢失了图传（,True
第二是无人机在丢失信号后,True
由于信号干扰、,True
Fly中可将遥控器信号中断后的飞行器行为设置为返航、,True
当飞行器和遥控器信号中断11秒或以上,True
消费者丁先生购买的大疆Avata无人机在飞行过程中出现信号中断,True
信号弱的缘故,True
就无人机信号中断后会否自主飞回的问题,True
信号干扰’,True
8架无人机坠落,True
这旋翼操控不好可能就会招致祸患,True
机身飞行器核心板损坏导致图传信号类故障”,True
定损结果为机身飞行器核心板损坏导致图传信号类故障,True
后来他发现自己的无人机故障很大可能在于遥控器,True
遥控器图传模块损坏导致图传信号弱”,True
定损结果为遥控器图传模块损坏导致图传信号弱,True
无人机的故障是遥控器的问题,True
他认为第一次更换的飞行器核心板并没有损坏,True
无人机信号故障和丢失主要是受到干扰或者通讯部件出问题,True
维修人员说电机烧了两个,True
他们的无人机均在飞行时出现信号故障等问题飞丢,True
无人机上升过程中GPS信号丢失,True
陈先生的无人机飞行中出现环境GPS信号弱、,True
遥控器信号受到建筑物遮挡的情况,True
也出现过信号丢失的情况,True
当无人机拉升至高度80米时遥控器突然失联,True
损坏导致图传信号类故障”,True
无人机信号故障和飞丢,True
无人机信号故障和丢失主要是受到干扰或者通讯部件出了问题,True
炸机原因是电池故障,True
故障的是电池,True
你的电池故障,True
故障原因是厂家的原厂电池,True
发生故障的是电池,True
才导致了电池爆炸起火事故,True
事故现场无人机电池已爆炸烧成灰烬,True
造成电池鼓包、,True
包括行业领头羊大疆无人机在内的多个品牌都有用户曝出电池鼓包、,True
在保修期内出现的非人为电池故障,True
无人机失控为GPS信号弱,True
用手柄操控也无法控制,True
最终导致手被飞快转速的螺旋桨划伤,True
无人机失控为GPS信号弱以及机主操作不当所致,True
认为无GPS信号不至于导致手柄操作失控,True
但大疆无人机的电池鼓包问题却时有发生,True
有多位无人机用户上传了鼓包的大疆电池照片,True
甚至有人经历了鼓包电池自燃爆炸、,True
他近期就遇到了大疆电池鼓包的问题,True
发现3块电池有不同程度的鼓包,True
对于电池鼓包的原因,True
如果只是某一块电池鼓包,True
但现在是三块电池同时鼓包,True
发现大疆电池鼓包不是个例,True
得知他们当中有不少人都遇到过大疆电池鼓包的问题,True
为什么大疆的电池这么容易鼓包,True
自己曾听别人说大疆电池容易鼓包,True
三块电池陆续出现鼓包现象,True
电池鼓包说明了什么,True
电池出现鼓包有两种原因,True
例如内部发生短路,True
甚至还可能导致电池在使用中发生自燃或爆炸,True
而无人机电池的鼓包会比手机电池鼓包的危害更大,True
大致有三种原因可能会造成电池鼓包,True
从而大大增加了电池的鼓包概率,True
具体由哪种原因造成电池鼓包,True
鼓包电池”,True
询问为何会多次出现电池鼓包问题,True
电池仍然发生了鼓包,True
如果大疆电池鼓包的现象确实是属于电池本身质量问题,True
如若飞机和遥控器断开连接,True
可能会受到信号干扰枪等因素干扰,True
但没有信号干扰枪等屏蔽举措,True
月份时因无人机云台抖动,True
导致信号丢失飞丢,True
无人机中断信号前,True
信号被遮挡干扰,True
如果提示信号弱,True
在设计弱信号预警的时候有没有留足余量,True
无人机失控坠机前图像信号已突然消失,True
下视传感器受到污染导致不能正常下降”,True
也是可以通过遥控器正常遥控下降,True
就有不少网友就投诉大疆无人机有电池鼓包、,True
有的电池鼓包,True
电池鼓包”,True
电池过放引起鼓包需要付费更换”,True
除了电池鼓包,True
但总算大疆车载系统即将落地,True
信号突然丢失,True
信号丢失或环境干扰是其中重要的一点,True
或受到同频段信号干扰,True
导致信号丢失,True
依然收获实现图像和GPS信号双丢失~,True
除了信号丢失或环境干扰,True
它是让无人机在信号丢失后,True
无人机云台电机过载是常见的故障提示之一,True
请注意是云台电机线路或者云台机械部分故障,True
还出现了云台电机过载的提示,True
无人机云台电机过载与无人机动力不足（,True
无人机电机动力不足或者说无人机电机过载）,True
无人机云台电机过载是说云台花费很大力气才能维持云台的工作状态,True
检查云台电机是否异常,True
或者云台电机轴有没变形即可,True
电机过载”,True
修回来又断图传,True
再次寄回厂家给出的反馈是避障缺陷导致,True
只是检测出设备云台有抖动的情况,True
至于什么原因导致设备云台抖动,True
对于为什么出现云台抖动的问题,True
云台电机过载】,True
依照客服指令重刷固件均存在故障码,True
云台轴臂损坏导致云台增稳类故障’,True
其他用户也反馈过云台电机过载问题（,True
大疆无人机云台存在产品质量缺陷,True
无人机操纵者陈某在遥控器信号已被干扰的情况下,True
铂金版安装老款的桨页全力飞行的噪音也不低；,True
我们在模糊测试时往往准备好了设备的完整固件,True
所以必须在实时系统中执行模糊测试,True
将其发送至无人机并评估哪些输入可能导致软件崩溃,True
但是在远距离飞行的时候还是要防备通讯联络被干扰或者遮蔽,True
而且在广阔的天空中卫星信号基本不会被遮挡,True
朝鲜干扰GPS信号,True
用户在挽回损失时试图徒手控制飞行器导致手指被旋翼划伤,True
用户可以快速定位到摄像头出现故障的原因,True
摄像头容易出现故障,True
造成摄像头的损坏,True
以免出现摄像头的故障问题,True
1.电池故障,True
如果电池出现故障,True
如果电池过度掉电,True
2.信号干扰,True
可能会发生信号干扰,True
避免信号干扰或其他原因导致通信故障,True
要求操作人员具备基本的无人机系统知识和故障识别能力,True
螺旋桨损坏、,True
导航与控制系统故障分析与解决办法,True
导航与控制故障可能导致无人机飞行不稳定、,True
摄像头故障可能表现为图像模糊、,True
信号传输系统故障则可能导致遥控信号丢失或图传信号中断,True
检查天线是否损坏、,True
螺旋桨磨损情况、,True
无人机失控被大风吹到了电线上,True
无人机及电线均出现破损,True
那么高速旋转的螺旋桨和高空急速坠落的无人机都会对地面正常活动的人造成巨大威胁,True
瞬间被无人机快速旋转的机翼划伤额头、,True
是受到干扰还是人为疏忽程序出现问题,True
但部分无人机的定位及辅助定位系统在起飞后受到定向干扰,True
有可能是在程序设置和规划航线的问题上发生错误了,True
就是被高速旋转的无人机桨叶划伤头部,True
上饶市一名儿童被无人机桨叶划伤面部,True
