评论内容,匹配的长文本
为什么信号这么好不会失联~,为什么信号这么好不会失联~~~~~
飞机信号屏蔽区失联不很正常吗,飞机信号屏蔽区失联不很正常吗！
但是发到500米远左右后信号失联,今天上午收到，下午试飞，还特意选择了空旷的公司大院，飞到隔壁的公园，总体不错。但是发到500米远左右后信号失联，后高空撞到宝塔上面摔了下来，机器坏了，心痛死了。第一时间联系客服，申请随心换，付了300多。后来联系客服，说在保修期内，帮我取消了随心换，预约寄回维修，不过说真的，大疆的客服的确好，明天我寄回机器与电池，的确不是**作问题，不知道为何第一次飞信号这么弱，飞行前还检查了GPS信号，期待给我的售后跟上
请问你说信号失联情况具体地址在哪,请问你说信号失联情况具体地址在哪？是在中国大陆还是在国外?
但是从你描述的信号失联和返航炸鸡的情况,虽然我不知道具体什么情况，但是从你描述的信号失联和返航炸鸡的情况，观察飞行情况和信号状态是飞手的事 ，还有失联返航的条款你应该没看，失联导致炸鸡是飞手的责任，从16年开始玩大疆到现在，我可以说见证了大疆售后的提升（我以前也经常炸鸡，被大疆售后ex过）但是单从你描述的情况来看，很大概率是自身操作问题哦
随便一个信号干扰就没了,在城市里，随便一个信号干扰就没了。
不带屏用手机的话不能接电话为了信号应该要关网络的而且就算不关插着遥控器也不好接电话其他应该没什么不便,不带屏用手机的话不能接电话为了信号应该要关网络的而且就算不关插着遥控器也不好接电话其他应该没什么不便
怕没信号回不来或者掉海里山里,是的。我就是之前想入无人机但觉得太复杂还在观望的，这款NEO让人心动啊，唯一的问题是自然风光能不能拍，怕没信号回不来或者掉海里山里
介绍说没电没信号自动回来,介绍说没电没信号自动回来
没有gps信号只会随风飘不会失控,就是gps诱骗装置，给你无人机发送虚假gps坐标，你的无人机飞控就会介入，导致不受控制，掉高坠机之类的乱飞，没有gps信号只会随风飘不会失控，你这很明显是被gps诱骗了
东西还行吧就是gps摔坏了没有gnss信号不能返航了,东西还行吧就是gps摔坏了没有gnss信号不能返航了
没注意gps信号弱,无人机新手，眼镜飞行体验非常好，更多是冲着眼镜买的，易上手，操作难度低，有护框炸机概率明显降低，很适合新手入门。操作难易：体感手柄操作逻辑很容易上手，操作简单，室内也可以轻松控制。m档目前还没有，复杂动作还是需要另配遥控器。稳定性：空旷区域图传稳定，暂时还没试过遮挡情形。搜星需要一定时间，gps信号稳定前容易偏移。其他特色：第一次小区试飞是阴天，没注意gps信号弱，起飞后风大明显偏移，直接吹偏撞到高楼外墙后掉到十几层楼高度人家阳台外面小平台，好在反乌龟功能给力，抢救成功，要不就只能提控回家了。切身体会：1 抗风能力偏弱，gps信号稳定前谨慎飞行；2 反乌龟+机身护框对新手非常友好，极大降低炸鸡概率； 3 复杂环境下建议另外多个人观察，戴眼镜无法观察到飞机位置，出现偏移容易炸鸡。
你不设置当然有撞树枝的可能啦而且信号断之前就是没有预警的啊这个可能就是你操作不当,是你自动返航的高度没设置好，正常飞行前都要根据最高障碍物的高度来设置的啊，你不设置当然有撞树枝的可能啦而且信号断之前就是没有预警的啊这个可能就是你操作不当
突然信号断了,我的大疆在去年踏勘时候返回途中还剩百分之二十电量，突然信号断了，然后就没然后了
突然信号断了,一样也是飞着飞着突然信号断了，写得的可以飞十公里但是我飞300米就断了，然后就连不回来了，飞机也没飞回来。找他们售后也是一直甩锅。你要是有新进展了艾特我一下
图传撞断电了信号被遮蔽,图传撞断电了信号被遮蔽，凭什么怪厂家
断信号周围环境如何?,断信号周围环境如何?自动返航设置返航高度是多少?
环境复杂容易断信号,返回能碰到树枝，你这自动返航高度设置有点低啊，飞得低，环境复杂容易断信号，跟距离没关系。
外电话铃响就断信号断显示（,我的大疆御2，以手机显示。外电话铃响就断信号断显示（以前没有的，近两年才出现）。大疆有时会出现奇秒的故障。
很容易断信号,我也觉得mini3pro的避障存在问题。我悬停在大概一米的高度，回头跟人讲了句话，没有碰摇杆。它自己撞旁边的车上去掉下来了。还有就是信号确实很差  很容易断信号
一样也是飞着飞着突然信号断了,一样也是飞着飞着突然信号断了，写得的可以飞十公里但是我飞300米就断了，然后就连不回来了，飞机也没飞回来。找他们售后也是一直甩锅。你要是有新进展了艾特我一下
电池与飞机通讯中断了,电池与飞机通讯中断了。
模拟卫星给你发射错误信号,gps诱骗了，模拟卫星给你发射错误信号
解决室内GPS信号差甚至无信号切换到近场低延迟图传,有没有可能大疆和华为星闪做个合作？解决室内GPS信号差甚至无信号切换到近场低延迟图传？
说不上好不好体验感极差.飞了几百米就卡顿无信号模糊不清,说不上好不好体验感极差.飞了几百米就卡顿无信号模糊不清
这个信号太差了吧,这个信号太差了吧，感觉一公里就没图了…
16号下午飞着提示天线弱信号差 ,垃圾虚假宣传 宣传续航18分钟只有一半 宣传能飞十公里图传三公里都飞不了 信号传输还差  16号下午飞着提示天线弱信号差 要返航直接断联丢了 当时找京东回复找大疆大疆只愿意5折赔 明显的机器质量问题产品不成熟推脱责任不承担 大疆回复说什么城市飞行有遮挡是正常 不愿意赔 四百米不到的距离信号都不好 大疆也可以直接倒闭了  还说什么考虑到客户体验可以五折赔付 垃圾 就是垃圾做工质量：极差 存在很大缺陷
在信号不好的时候飞机会自己漂开,去实体店试了！新手用摇杆没有想象中的那么灵敏，在信号不好的时候飞机会自己漂开，如果晕3D的话不建议玩，带上眼镜飞起来以后会有明显的晕眩感。最重要的是眼镜，很多电影会有版权保护不支持投屏，实际投放1080p的视频到眼镜上画质会有明显下降！屈光度调节实际使用存疑，因为我眼睛没有散光但是看视频的时候还是觉得很不舒适。建议观望一下，目测会降价。
然后提示信号不好,我的御3pro，才飞了600米，飞高50多米，在江上拍大桥。然后提示信号不好，就断联了。后来显示最终位置在桥下的岛上。重启遥控器后，又显示最终位置在江边隔着一条马路的酒店天台上。酒店工作人员很配合的到处找了一圈，也没能找到尸体。断联后，是自动返航，居然飞到不是飞过去时的轨迹上的酒店。但是客服完全不有效沟通，不能明确给出合理解释的情况下，先是扯皮说我们把限高设置成了100米（实际是500）。然后就是不管我们怎么说明情况，都继续说自己官方那套，说责任就是在我们。大疆能做大做强，变成中国的骄傲，我们开始能用这个产品，也是非常自豪的，结果现在非常失望。
4G模块放上面4G信号不好,4G信号发射塔向着地面发射的，4G模块放上面4G信号不好，GPS也不好。吊在飞机下面，才是4G，GPS两不误
但是信号不好,御pro也可以，但是信号不好
信号不好掉下来砸到人或或者车都要出事故,城市里就不该飞那么高，信号不好掉下来砸到人或或者车都要出事故，郊区可以放开一些
信号不好的时候基本就不会继续飞了,"哎好吧，向你道个歉，主要是觉得报备麻烦的很，而且我虽然飞120米以上但是我基本在信号良好的条件下飞，信号不好的时候基本就不会继续飞了，我喜欢在2,300多米俯瞰城市，还想着带飞机去不同城市转转，这个规定一出来对于我这种觉得报备麻烦的人可能就是挺难受的"
楼跟楼直接影响信号不好了,市区飞距离有限，楼跟楼直接影响信号不好了。算你过去无人机早被路人甲捡走了。
信号不好,去实体店试了！新手用摇杆没有想象中的那么灵敏，在信号不好的时候飞机会自己漂开，如果晕3D的话不建议玩，带上眼镜飞起来以后会有明显的晕眩感。最重要的是眼镜，很多电影会有版权保护不支持投屏，实际投放1080p的视频到眼镜上画质会有明显下降！屈光度调节实际使用存疑，因为我眼睛没有散光但是看视频的时候还是觉得很不舒适。建议观望一下，目测会降价。
信号不好,我的御3pro，才飞了600米，飞高50多米，在江上拍大桥。然后提示信号不好，就断联了。后来显示最终位置在桥下的岛上。重启遥控器后，又显示最终位置在江边隔着一条马路的酒店天台上。酒店工作人员很配合的到处找了一圈，也没能找到尸体。断联后，是自动返航，居然飞到不是飞过去时的轨迹上的酒店。但是客服完全不有效沟通，不能明确给出合理解释的情况下，先是扯皮说我们把限高设置成了100米（实际是500）。然后就是不管我们怎么说明情况，都继续说自己官方那套，说责任就是在我们。大疆能做大做强，变成中国的骄傲，我们开始能用这个产品，也是非常自豪的，结果现在非常失望。
信号不好,4G信号发射塔向着地面发射的，4G模块放上面4G信号不好，GPS也不好。吊在飞机下面，才是4G，GPS两不误
信号不好,御pro也可以，但是信号不好
信号不好,城市里就不该飞那么高，信号不好掉下来砸到人或或者车都要出事故，郊区可以放开一些
信号不好,室内飞GPS信号不好容易不能自稳的，还是有些危险的。很容易炸鸡
信号不好,"哎好吧，向你道个歉，主要是觉得报备麻烦的很，而且我虽然飞120米以上但是我基本在信号良好的条件下飞，信号不好的时候基本就不会继续飞了，我喜欢在2,300多米俯瞰城市，还想着带飞机去不同城市转转，这个规定一出来对于我这种觉得报备麻烦的人可能就是挺难受的"
信号不好,市区飞距离有限，楼跟楼直接影响信号不好了。算你过去无人机早被路人甲捡走了。
信号不好,信号不好，阴天信号弱，大疆的信号在卫星上俺家买两台大疆了挺好的
信号不好,我在保修期内，寄去检测模块信号不好问题，大疆售后说人为的不质保，自费修，然后我没修，寄回来直接把我避障没了，云台跳镜头，所以大疆售后大家别期待了
信号不好,还是不错的，操作简单，就是时间长了头晕想吐，需要适应一下才行，速度可以，室外型号好就好用，室内信号不好的话飞不远，还是要在开阔的地方玩才行
信号不好,我是无人机小白，其实一直想买一款无人机过一过瘾。众多机型里面，我觉得这一款从安全角度上讲应该算是最安全的。毕竟有桨叶那个保护一圈。这两天试飞了一下，还没有完全掌握，但是很爽。不过吃不准，什么情况下信号好，什么时候信号不好。在家里飞来飞去，简直酷毙了。大夏天我坐在家里，从自家阳台飞出去兜一圈再回来。哈哈哈。价格这个东西嘛，成年人的玩具哪有便宜的？买了两年的大疆随心飞。，当然不希望闸机万一出现了这种情况也有个保障。还得自己去买一个充电头，否则正常的华为手机充电器是慢的不得了。
信号不好,首飞飞丢两次，一次是没电，一次是信号不好，但是都自己能飞回去，很好。
信号不好,大疆DJI Mavic 3 Pro 畅飞套装（DJI RC PRO）御3三摄旗舰航拍机真的太香了！😍不仅性能强大，外观也是一级棒。飞行起来非常稳定、顺畅，还有哈苏相机的加持让我可以拍出更专业的大片。图传效果更是一流，再也不用担心信号不好或者掉线啦~而且价格实惠，性价比超高哦。
信号不好,大疆DJI Mavic 3 Pro 畅飞套装（DJI RC PRO）御3三摄旗舰航拍机真的太香了！😍不仅性能强大，外观也是一级棒。飞行起来非常稳定、顺畅，还有哈苏相机的加持让我可以拍出更专业的大片。图传效果更是一流，再也不用担心信号不好或者掉线啦~而且价格实惠，性价比超高哦
信号不好,飞机很好就遥控器的信号不好老被干扰都让人无语买什么遥控也不要小白控还卡图专
信号不好,这是为数不多非常糟糕的购物体验，首先收到飞机试飞的时候就发现图传有问题，画面丢失等问题在于客服联系说我这城市里信号不好正常，但是后续多次发现问题联系大疆售后线上检查结果是硬件有问题，后续换新发过来的明显不是新的。
信号不好,图传信号不好，几十米就没信号了。不推荐各位买
信号不好,是这样的，我的飞机在南浔古镇飞一个石桥底，竟然自己失控侧飞撞桥墩掉水里，后来捡回来找大疆，他们说这是因为桥底有信号干扰，我当时没想清楚就给了2000多的维修费，后来认真想一下，当时根本没失联，也不可能信号弱，那个是水乡里面的小石桥，而且离我只有几米，再者，信号不好应该几十秒后自动爬升高度返航而不可能是侧飞，还有，我的飞机型号是有避障功能的，不应该直接撞桥墩，现在我非常后悔自己给钱去修，而且还修了两次，刚刚拿到飞机试飞还很容易失联，很无语
信号不好,你都买了mini 3 Pro嫌弃信号不好那就算4g模块啊，嫌弃大疆就去买道通哈博森，何况保险也不知道买一个
信号不好,御三Pro抗风能力不可能差，都能顶小台风了。我自己在大风海边飞的时候都感觉稳得一批。图传这个大概率就是周围遮挡物太多我之前在山里植被太繁茂，被提示rc信号不好。大雾天我也飞过，不是御三是air2。安全飞回。看下面小地图就行。实在不行返回图中没遮挡情况下，一键返航。至于售后……直接找线下网点是最好的
市区楼跟楼信号越来越不好,这个人在市区飞信号容易掉了，被迫下降分分钟钟被人家捡走了。市区楼跟楼信号越来越不好，怪自己
寄去检测模块信号不好问题,我在保修期内，寄去检测模块信号不好问题，大疆售后说人为的不质保，自费修，然后我没修，寄回来直接把我避障没了，云台跳镜头，所以大疆售后大家别期待了
室内信号不好的话飞不远,还是不错的，操作简单，就是时间长了头晕想吐，需要适应一下才行，速度可以，室外型号好就好用，室内信号不好的话飞不远，还是要在开阔的地方玩才行
什么时候信号不好,我是无人机小白，其实一直想买一款无人机过一过瘾。众多机型里面，我觉得这一款从安全角度上讲应该算是最安全的。毕竟有桨叶那个保护一圈。这两天试飞了一下，还没有完全掌握，但是很爽。不过吃不准，什么情况下信号好，什么时候信号不好。在家里飞来飞去，简直酷毙了。大夏天我坐在家里，从自家阳台飞出去兜一圈再回来。哈哈哈。价格这个东西嘛，成年人的玩具哪有便宜的？买了两年的大疆随心飞。，当然不希望闸机万一出现了这种情况也有个保障。还得自己去买一个充电头，否则正常的华为手机充电器是慢的不得了。
一次是信号不好,首飞飞丢两次，一次是没电，一次是信号不好，但是都自己能飞回去，很好。
再远信号就不好了,很不错。沉浸飞翔体验，实在是一个很大的进步。头戴显示器可以调节度数，对于近视的人来说，太方便了，同时，显示器还能够用于播放其他的视频，赞。在有风的情况下，电池一般能撑十分钟左右，遥控距离，我在城市里边飞，最远大概也就是1.8到2公里，再远信号就不好了，这个相对来说不是太理想。视频导入到电脑或者手机确实是不太方便，需要在飞机上那个插口那里接线，而这个插孔的位置设计太反人类了，太不方便了，完全应该可以通过APP实现视频的转移和管理，希望后续改进
再也不用担心信号不好或者掉线啦~,大疆DJI Mavic 3 Pro 畅飞套装（DJI RC PRO）御3三摄旗舰航拍机真的太香了！😍不仅性能强大，外观也是一级棒。飞行起来非常稳定、顺畅，还有哈苏相机的加持让我可以拍出更专业的大片。图传效果更是一流，再也不用担心信号不好或者掉线啦~而且价格实惠，性价比超高哦。
再也不用担心信号不好或者掉线啦~,大疆DJI Mavic 3 Pro 畅飞套装（DJI RC PRO）御3三摄旗舰航拍机真的太香了！😍不仅性能强大，外观也是一级棒。飞行起来非常稳定、顺畅，还有哈苏相机的加持让我可以拍出更专业的大片。图传效果更是一流，再也不用担心信号不好或者掉线啦~而且价格实惠，性价比超高哦
信号也不好,还行吧，花四五千买mini4，air3有点舍不得，两千多块钱玩玩可以了，除了智能跟随等等功能没有，一件短片，无损竖拍，非常实用，比较喜欢拍老家，城市没啥好拍的，信号也不好
四百米不到的距离信号都不好 ,垃圾虚假宣传 宣传续航18分钟只有一半 宣传能飞十公里图传三公里都飞不了 信号传输还差  16号下午飞着提示天线弱信号差 要返航直接断联丢了 当时找京东回复找大疆大疆只愿意5折赔 明显的机器质量问题产品不成熟推脱责任不承担 大疆回复说什么城市飞行有遮挡是正常 不愿意赔 四百米不到的距离信号都不好 大疆也可以直接倒闭了  还说什么考虑到客户体验可以五折赔付 垃圾 就是垃圾做工质量：极差 存在很大缺陷
信号稍微不好就自动导航,刚买的无人机，信号稍微不好就自动导航，关键还撞房子。气人比，也就140米距离。
图传信号不好,图传信号不好，几十米就没信号了。不推荐各位买
信号不好应该几十秒后自动爬升高度返航而不可能是侧飞,是这样的，我的飞机在南浔古镇飞一个石桥底，竟然自己失控侧飞撞桥墩掉水里，后来捡回来找大疆，他们说这是因为桥底有信号干扰，我当时没想清楚就给了2000多的维修费，后来认真想一下，当时根本没失联，也不可能信号弱，那个是水乡里面的小石桥，而且离我只有几米，再者，信号不好应该几十秒后自动爬升高度返航而不可能是侧飞，还有，我的飞机型号是有避障功能的，不应该直接撞桥墩，现在我非常后悔自己给钱去修，而且还修了两次，刚刚拿到飞机试飞还很容易失联，很无语
Pro嫌弃信号不好那就算4g模块啊,你都买了mini 3 Pro嫌弃信号不好那就算4g模块啊，嫌弃大疆就去买道通哈博森，何况保险也不知道买一个
被提示rc信号不好,御三Pro抗风能力不可能差，都能顶小台风了。我自己在大风海边飞的时候都感觉稳得一批。图传这个大概率就是周围遮挡物太多我之前在山里植被太繁茂，被提示rc信号不好。大雾天我也飞过，不是御三是air2。安全飞回。看下面小地图就行。实在不行返回图中没遮挡情况下，一键返航。至于售后……直接找线下网点是最好的
我的M2P起飞离地五米就信号干扰严重了,作为一个九年老飞手看着大疆的民用化飞行器越做越好确实很开心，但是其实还是挺希望dji能把mini的价格再往上提一点的=.=现在飞机越来越便宜完全不会飞的直接上手玩的就越来越多，出事的概率也就直线上升。之前在新疆拍“八卦城”的时候就遇到了接近要出事的情况，城市的中央广场上方有至少十架飞机，我的M2P起飞离地五米就信号干扰严重了，而且大多数其他飞机看体型都是air系mini系的，实在是太危险了，要么国家再严管要么大疆提点价格限制用户量
水库信号稍有干扰但是可以飞,哥们儿你玩无人机么？北京有什么景点涉及军区了？无人机基本出了5环就可以起了。水库信号稍有干扰但是可以飞，比如怀柔水库密云水库。故宫neo这玩意你飞一个我看看，我估计按你的不是保安，是警察。目前neo可以卡bug不连遥控手机，但就这个受众群体，要么强化禁飞要么修。这东西的动力抗风和镜头，你高空起来能拍啥能用的。你要就图禁飞不如买哈博森，好歹飞高画面能用。
也有车好像是被信号干扰了他就失控了,我也刚买了一个无人机大疆飞的天空有点高左边是马路，也有车好像是被信号干扰了他就失控了，下也下不来他就想往车那边飞就准备到处乱窜
高压线对信号有干扰,高压线对信号有干扰
被信号干扰了,我也刚买了一个无人机大疆飞的天空有点高左边是马路，也有车好像是被信号干扰了他就失控了，下也下不来他就想往车那边飞就准备到处乱窜
被信号干扰了,活该，黑飞，被信号干扰了
城市飞行需要考虑很多因素比如信号塔密集的地方会干扰、,夜间飞行本身就有很多不确定。城市飞行需要考虑很多因素比如信号塔密集的地方会干扰、比如禁飞区也会干扰、晚间是不是提示某些方向避障系统关闭了。因为你自己原因导致的炸机你就自己负责任，不是谁发个抖音谁就有理
有信号干扰会这样,有信号干扰会这样
军区信号干扰,军区信号干扰
信号干扰了,我也刚买了一个无人机大疆飞的天空有点高左边是马路，也有车好像是被信号干扰了他就失控了，下也下不来他就想往车那边飞就准备到处乱窜
信号干扰了,活该，黑飞，被信号干扰了
信号干扰了,信号干扰了
4G信号不能被随意干扰的,没试过，但我感觉有4G肯定比没有强，起码不用担心随时会断图传。再者，4G应该会有辅助定位的功能，就是不知道在GPS受到严重干扰时，4G有多少定位的作用。但是有一点是肯定的，4G信号不能被随意干扰的。
市区信号干扰多,市区信号干扰多，而且楼体遮挡也有影响。双丢后，如果返航高度过低，很容易返航途中撞楼炸鸡
就是在市区容易受信号干扰,真实很惊艳，玩起来爱不释手，做工很好，没有瑕疵。送了机翼保护罩，很好，不容易损坏。就是在市区容易受信号干扰，飞不了多远。看以后带到宽阔的地方会不会好些。很满意。
在无信号干扰宽广的场地飞个几公里的话,收到Air3并使用了一段时间来客观评价一下，飞行器做工细致，仔细检查机器全新，没有发现问题，且携带也还方便！科普相关教程后，开始飞行，操作上很精准、便捷，只要谨慎、保守些飞行，大概率可以避免发生的安全问题，高空的飞行视觉确实很大气、广阔的，视觉感很强，在无信号干扰宽广的场地飞个几公里的话，应该不会丢失信号的，综合体验下来觉得是一款不错的产品，下面就个人来说，觉得不足的地方，此机型拍摄的画质表现还是有些差强人意，和使用的A1全画幅对比不论是视频还是图片都有非常大的差距，看惯了高画质表现，觉得这个机器拍摄的色彩层次感、画面的纯净度，清晰度等达不到自己期待的理想效果，同样都是4K60P的视频和图片，差距还是明显的，考虑到飞行器的传感器较小等问题，这些都能接受的，Air3让我也体验到了飞行的快乐感，总之这款产品达到了大疆预期市场的目的，产品中规中矩的表现满足了大部分飞友的需求和目的！
一直显示长约遥感信号受到干扰,为什么穿越机都没有避障功能，一直显示长约遥感信号受到干扰，电池飞行时间太短了。操控确实很棒，比较喜欢。
就是飞不远了信号经常有干扰,很好上手，操控方便，拍出来的照片和视频很惊艳。就是飞不远了信号经常有干扰。大疆售后非常好，维修更换及时，流程清晰，用的放心。
他们说这是因为桥底有信号干扰,是这样的，我的飞机在南浔古镇飞一个石桥底，竟然自己失控侧飞撞桥墩掉水里，后来捡回来找大疆，他们说这是因为桥底有信号干扰，我当时没想清楚就给了2000多的维修费，后来认真想一下，当时根本没失联，也不可能信号弱，那个是水乡里面的小石桥，而且离我只有几米，再者，信号不好应该几十秒后自动爬升高度返航而不可能是侧飞，还有，我的飞机型号是有避障功能的，不应该直接撞桥墩，现在我非常后悔自己给钱去修，而且还修了两次，刚刚拿到飞机试飞还很容易失联，很无语
造成信号干扰,一般来说出现无人机失联就几种情况:   1、无人机与遥控器中间隔了多道墙体阻隔信号；2、无人机与遥控器距离太远；3、当地有信号屏蔽器，造成信号干扰。     至于壁障问题，要看是不是附近有透明玻璃或者水面，目前视觉避障对这两种识别效果不明显，我也经常遇到附近是玻璃墙体导致炸机
比如有信号干扰,信号问题的外界因素有很多，比如有信号干扰，物体遮挡都会造成信号失联，新手适合飞高，反而安全，遥控器与飞机也不能有物体遮挡
建议你不要飞去信号干扰强的城市环境,我之前也炸鸡了。建议你不要飞去信号干扰强的城市环境，买个4g模块吧
都有信号干扰,你在成都哪里飞的？成都几乎全市都是禁飞区特别还有几个高机密禁飞区，都有信号干扰。
确实有时候会无征兆信号干扰,确实有时候会无征兆信号干扰，但是不至于丢失，抗风能力很强，除了大风天气拍延时以外会有点不好！体积大点以外都还蛮好的！
说是GPS信号弱导致无法定位,我的avata第一次飞室内就炸了，说是GPS信号弱导致无法定位
然后卫星瞬间掉二十多然后信号弱,我也是，那时候我在500米高拍延时，然后卫星瞬间掉二十多然后信号弱，直接姿态模式，云台歪了，过了几秒他在天上自己飘了一段距离，然后又恢复正常了，这个好像是大疆Air3的通病
阴天信号弱,信号不好，阴天信号弱，大疆的信号在卫星上俺家买两台大疆了挺好的
通讯信号弱吧?,通讯信号弱吧?
我的御2起飞就提示摇控器信号弱和图传信号弱,我的御2起飞就提示摇控器信号弱和图传信号弱，到底是摇控器的问题还是无人机的问题？
就是信号隔几栋房子的话会比较弱,一分钱一分货吧，这个价位的大疆懂的都懂，砍了一些东西，增加了一个4K，总体是满意的，本打算买来做小孩儿童节礼物的，520那天抢的好快，选配置没选完就无了，531那天也很不容易才买到了，预约的时候没选SD卡，后面干脆170买了个256G的，用下来还是可以的，就是信号隔几栋房子的话会比较弱，app里面的禁飞区域和UOM上是不同的，稍微擦点边就会有提示。
就是信号确实弱了点,物流一如既往的快，大疆的东西不用多言，飞控没话说，就是信号确实弱了点，眼镜对近视眼比较友好
飞个一公里左右就提示信号弱,大疆无人机确实厉害。只是现在只能限高120。一个山头都飞不过去。飞个一公里左右就提示信号弱。充电几小时，飞行十分钟。飞行眼镜容易发烫。
飞机飞行时对于暗光环境且gps信号弱时容易失控,操控方面比想象中要有难度，需要一个过程去适应。摄像头画质相对一般，飞机飞行时对于暗光环境且gps信号弱时容易失控，飞行眼镜3没有扬声器
不知道为何第一次飞信号这么弱,今天上午收到，下午试飞，还特意选择了空旷的公司大院，飞到隔壁的公园，总体不错。但是发到500米远左右后信号失联，后高空撞到宝塔上面摔了下来，机器坏了，心痛死了。第一时间联系客服，申请随心换，付了300多。后来联系客服，说在保修期内，帮我取消了随心换，预约寄回维修，不过说真的，大疆的客服的确好，明天我寄回机器与电池，的确不是**作问题，不知道为何第一次飞信号这么弱，飞行前还检查了GPS信号，期待给我的售后跟上
信号这么弱,今天上午收到，下午试飞，还特意选择了空旷的公司大院，飞到隔壁的公园，总体不错。但是发到500米远左右后信号失联，后高空撞到宝塔上面摔了下来，机器坏了，心痛死了。第一时间联系客服，申请随心换，付了300多。后来联系客服，说在保修期内，帮我取消了随心换，预约寄回维修，不过说真的，大疆的客服的确好，明天我寄回机器与电池，的确不是**作问题，不知道为何第一次飞信号这么弱，飞行前还检查了GPS信号，期待给我的售后跟上
信号这么弱,山区飞出两公里没有信号，光学镜头切换卡顿，续航号称43分钟，实际23分钟，花架子，真的该听团长的买道通。你这个飞机装的是手机蓝牙吧，信号这么弱
信号弱的情况下悬停有点飘,大疆mini3无人机，操控还可以，信号弱的情况下悬停有点飘，图像很清晰，客服态度挺好，很快给你解决，飞行速度还可以，电机升降的声音多少有点大，充电速度挺快，旅行携带方便，就是重量有点轻，其它还是可以的。
也不可能信号弱,是这样的，我的飞机在南浔古镇飞一个石桥底，竟然自己失控侧飞撞桥墩掉水里，后来捡回来找大疆，他们说这是因为桥底有信号干扰，我当时没想清楚就给了2000多的维修费，后来认真想一下，当时根本没失联，也不可能信号弱，那个是水乡里面的小石桥，而且离我只有几米，再者，信号不好应该几十秒后自动爬升高度返航而不可能是侧飞，还有，我的飞机型号是有避障功能的，不应该直接撞桥墩，现在我非常后悔自己给钱去修，而且还修了两次，刚刚拿到飞机试飞还很容易失联，很无语
大疆一口咬定是GPS信号弱的问题,官方有回复解决吗？ 我的机子也是第一次GPS信号问题飞丢，后来花了1500又随心换购了一架，结果换来的激活第一天因为飞机过烫发热无法起飞，两天后再次尝试飞行，飞到一半自己掉下来，大疆一口咬定是GPS信号弱的问题，是人为造成的，不给保修，我就想问市区导航没问题，地方也开阔，别人的无人机飞的好好的，为什么就我的无人机信号问题？GPS信号弱这是人为的？电话连续沟通了好几天，人家就是统一口径、机器人口吻，这售后差到极点了，我会投诉到底的，真的就是为了这口气
大疆一口咬定是GPS信号弱的问题,我的机子是第一次GPS信号问题飞丢，后来花了1500又随心换购了一架，结果换来的激活第一天因为飞机过烫发热无法起飞，两天后再次尝试飞行，飞到一半自己掉下来，大疆一口咬定是GPS信号弱的问题，是人为造成的，不给保修，我就想问市区导航没问题，地方也开阔，别人的无人机飞的好好的，为什么就我的无人机信号问题？GPS信号弱这是人为的？电话连续沟通了好几天，人家就是统一口径、机器人口吻，这售后差到极点了，我会投诉到底的，真的就是为了这口气
GPS信号弱这是人为的,官方有回复解决吗？ 我的机子也是第一次GPS信号问题飞丢，后来花了1500又随心换购了一架，结果换来的激活第一天因为飞机过烫发热无法起飞，两天后再次尝试飞行，飞到一半自己掉下来，大疆一口咬定是GPS信号弱的问题，是人为造成的，不给保修，我就想问市区导航没问题，地方也开阔，别人的无人机飞的好好的，为什么就我的无人机信号问题？GPS信号弱这是人为的？电话连续沟通了好几天，人家就是统一口径、机器人口吻，这售后差到极点了，我会投诉到底的，真的就是为了这口气
GPS信号弱这是人为的,我的机子是第一次GPS信号问题飞丢，后来花了1500又随心换购了一架，结果换来的激活第一天因为飞机过烫发热无法起飞，两天后再次尝试飞行，飞到一半自己掉下来，大疆一口咬定是GPS信号弱的问题，是人为造成的，不给保修，我就想问市区导航没问题，地方也开阔，别人的无人机飞的好好的，为什么就我的无人机信号问题？GPS信号弱这是人为的？电话连续沟通了好几天，人家就是统一口径、机器人口吻，这售后差到极点了，我会投诉到底的，真的就是为了这口气
6.GPS信号弱,1.4k画质糊，插值运算生成的，虚标 2.续航时间虚标，18分钟，实际使用在13-15分钟 3.最大飞行速度虚标，实际达不到 4.图传距离虚标，标称10公里，实际很多人不到1公里就丢图传 5.暗光定位不行，视觉定位硬件偷工减料，导致傍晚和室内飞行容易进入姿态模式炸机 6.GPS信号弱，容易飞丢 7.跟随稳定性差，容易飞丢
6.GPS信号弱,经过我的测试和总结网络上大家分享，问题如下: 1.4k画质糊，插值运算生成的，虚标 2.续航时间虚标，18分钟，实际使用在13-15分钟 3.最大飞行速度虚标，实际达不到 4.图传距离虚标，标称10公里，实际很多人不到1公里就丢图传 5.暗光定位不行，视觉定位硬件偷工减料，导致傍晚和室内飞行容易进入姿态模式炸机 6.GPS信号弱，容易飞丢 7.跟随稳定性差，容易炸机 8.图传距离对于十分钟续航的neo来说，并没多大用，几乎没什么人实际使用的时候，飞的超过一公里 9.套装不送快充充电器和包，需要单独购买 10.稍微有点风姿态就不稳，就是一键放生 11.视频画质过曝严重。
